North Elbert,39.15216,-106.41235
Mt Massive,39.15177,-106.41918
N Cottonwood Creek,38.87057,-106.2658
Lake Como,37.53861,-105.57611
La Plata,39.06788,-106.50515
Nellie Creek,38.052645,-107.417816
South Colony Lakes,37.97611,-105.50651
Kite Lake,39.32758,-106.12928
Grays Peak,39.66087,-105.78462
Baldwin Gulch,38.71002,-106.29163
Castle Creek,39.0289,-106.80801
Quandary,39.38491,-106.06178
Guanella Pass,39.59688,-105.71003
Longs Peak,40.27233,-105.55679
Rock of Ages,37.88296,-108.01848
Shavano Tabeguache,38.596231,-106.196848
Missouri Gulch,38.99807,-106.37508
Mt Princeton Road,38.73994,-106.17558
Denny Creek,38.815,-106.33444
Willow Creek,37.98889,-105.66278
Navajo Lake,37.80339,-108.06378
Maroon Lake,39.09862,-106.94064
Yankee Boy Basin,37.995,-107.78472
Capitol Creek,39.23422,-107.07952
Crags Campground,38.87359,-105.12375
Snowmass Creek,39.20016,-106.99414
Needleton,37.578581,-107.722441
American Basin,37.927797,-107.515153
Culebra (main),37.15,-105.2925
Huerfano-Lily Lake,37.66555,-105.459985
Fourmile Creek,39.20575,-106.1622
Silver Creek-Grizzly Gulch,37.93694,-107.46083
Matterhorn Creek,38.023108,-107.493245
Stewart Creek,38.0246,-106.84124
Half Moon,39.50054,-106.43318
Clear Creek,38.978124,-106.448223
